x,y
404,472
415,975
824,416
571,767
645,287
781,447
643,997
873,481
160,637
354,452
922,547
857,669
428,292
882,611
269,918
338,648
814,143
818,588
162,931
878,958
483,969
160,525
533,863
680,327
133,942
607,401
304,181
362,289
941,447
552,555
916,715
988,517
373,835
189,469
994,602
905,811
954,798
823,461
386,929
651,485
238,179
962,492
666,940
553,997
466,713
888,352
346,941
161,390
569,255
129,620
652,320
498,687
515,379
857,812
813,253
190,581
851,548
662,622
838,527
859,309
510,431
471,110
753,537
269,130
513,369
860,510
928,310
667,398
786,496
960,588
375,419
360,366
666,534
305,744
370,500
508,753
304,225
304,737
644,845
189,829
203,410
190,439
844,654
980,818
616,312
365,154
115,479
337,531
422,686
599,146
812,174
155,519
658,106
857,958
966,393
309,157
440,470
510,599
434,163
804,944
128,750
124,792
312,483
505,812
314,255
499,862
528,884
562,165
839,871
823,486
156,183
286,229
192,680
476,398
556,438
793,192
605,411
313,106
866,786
260,144
826,884
883,945
585,249
379,780
484,106
218,527
273,614
237,928
640,378
937,883
757,927
241,975
112,814
160,919
726,732
172,714
223,687
279,944
258,271
547,529
218,397
544,465
606,416
532,447
403,315
883,880
744,613
949,738
582,395
788,208
733,793
797,769
203,122
698,483
274,898
572,119
564,470
912,803
423,881
776,494
733,644
452,552
588,334
327,825
681,979
745,548
659,945
169,225
150,625
471,149
598,983
648,460
688,426
674,281
675,822
420,706
684,505
593,911
636,324
552,358
446,986
484,970
831,272
578,877
968,668
430,796
884,848
163,246
792,651
228,224
820,546
307,942
923,442
110,819
914,894
640,427
764,835
232,776
900,562
143,987
992,799
624,459
986,131
510,293
816,694
745,662
719,659
740,908
472,124
777,595
189,487
464,487
531,173
999,681
286,250
455,102
356,323
517,789
387,726
455,475
354,236
892,555
231,766
194,984
766,336
441,959
532,392
289,759
426,183
203,599
998,420
803,640
745,120
130,376
948,435
644,280
405,759
957,412
316,965
165,779
389,462
395,944
802,505
302,686
580,990
610,632
688,350
822,352
707,627
408,349
626,749
354,608
782,626
691,924
337,612
954,616
277,161
520,314
146,472
473,389
721,410
446,784
248,893
254,927
950,121
695,398
245,529
897,808
606,779
889,883
750,557
300,178
874,474
962,262
701,206
590,207
216,190
507,581
825,656
609,743
476,907
782,755
642,828
485,563
440,354
448,263
159,275
931,568
764,273
155,502
940,788
428,154
548,631
768,498
896,600
418,111
837,484
364,1000
172,932
733,565
698,876
256,103
570,737
172,717
324,269
446,714
728,109
681,315
294,100
468,765
869,164
160,889
455,440
717,256
213,246
287,764
719,157
707,196
306,225
718,325
913,561
436,691
100,830
718,930
771,261
995,588
540,443
159,863
600,943
234,540
273,364
457,312
908,876
539,526
456,682
198,114
991,249
646,633
369,488
768,821
219,178
754,982
712,274
316,507
262,841
527,721
125,487
810,294
263,199
519,895
262,457
534,532
941,747
408,993
101,139
758,502
777,496
693,145
563,653
178,859
156,257
772,443
130,498
533,808
736,383
332,631
226,717
848,988
616,854
902,858
668,612
369,866
420,147
112,766
120,967
426,457
238,517
829,464
512,466
212,614
129,103
267,150
684,366
271,282
927,352
791,578
188,785
171,589
542,342
890,599
564,702
425,943
481,877
632,310
909,159
267,381
357,846
863,879
378,397
449,374
328,273
650,873
844,782
220,441
556,273
863,485
762,895
806,842
994,772
816,982
949,489
467,128
770,178
869,252
599,805
974,943
374,259
465,106
650,865
495,195
847,845
881,810
612,474
203,520
490,165
335,611
814,304
175,617
778,211
987,493
178,791
101,837
605,258
618,344
394,696
574,664
187,350
455,787
766,477
322,585
429,961
742,561
514,783
829,493
934,417
673,725
847,311
861,244
154,914
452,491
733,768
505,353
749,299
495,479
611,961
623,979
613,751
552,498
737,912
883,260
400,127
673,540
152,938
640,265
527,370
412,647
390,522
449,726
758,518
633,906
407,349
529,434
104,687
762,362
921,494
474,150
996,757
317,625
637,291
272,548
155,822
157,917
133,452
136,321
675,285
482,901
388,627
887,456
971,624
736,488
403,239
388,663
299,804
320,406
209,940
739,530
609,938
673,169
867,625
933,666
259,189
188,908
496,248
926,250
215,409
786,243
871,362
496,369
386,604
822,395
380,464
294,964
810,768
677,375
909,346
920,474
604,947
375,819
762,339
856,458
333,138
648,611
169,591
234,376
909,110
813,615
394,400
705,836
277,813
537,457
345,329
411,172
870,904
207,627
751,823
776,479
726,416
719,995
662,486
969,359
558,777
640,637
418,697
641,500
995,632
575,326
814,367
927,935
638,183
316,897
322,277
541,177
470,586
560,455
624,508
285,212
591,532
502,940
416,447
550,871
626,246
933,966
390,159
823,727
159,829
538,290
390,588
928,857
331,855
983,458
701,513
795,237
962,165
391,814
925,303
443,560
807,470
467,180
225,253
892,878
526,529
332,759
207,740
540,679
437,830
850,729
858,660
506,168
814,129
594,1000
661,156
876,299
851,589
933,232
501,132
672,699
590,957
856,538
932,365
396,683
198,166
215,734
484,291
184,627
381,469
725,845
229,669
812,119
719,691
690,797
390,133
847,924
806,574
987,497
373,874
450,760
636,568
875,150
322,783
165,778
117,510
656,332
663,633
660,387
651,105
229,907
621,407
638,512
301,967
756,220
387,212
521,489
323,946
554,980
653,954
520,708
838,153
113,254
830,496
958,195
380,783
324,384
629,209
250,537
601,638
405,709
489,530
823,293
817,797
690,322
150,276
486,876
225,624
454,307
528,695
697,195
721,838
916,563
646,943
532,458
199,745
181,301
648,457
802,135
345,629
754,417
249,189
879,578
786,207
624,795
402,509
809,859
826,769
680,292
549,796
301,398
253,833
706,588
614,760
713,708
148,541
785,646
665,216
797,747
643,345
196,929
659,224
189,521
318,603
168,616
296,980
712,399
297,419
837,985
909,918
671,400
375,225
528,655
529,814
420,231
152,331
705,141
305,106
617,111
794,219
457,253
843,374
979,971
879,287
101,702
124,161
631,399
490,609
577,249
496,643
160,530
966,247
864,522
235,664
618,912
846,767
454,632
260,386
861,414
163,787
839,796
644,532
992,473
524,745
302,398
676,569
847,513
954,245
151,768
318,717
534,516
694,525
525,272
687,941
485,457
587,508
137,562
642,534
768,724
274,718
166,288
633,673
736,475
272,143
937,959
468,772
446,434
142,700
500,940
392,611
315,890
630,408
669,412
134,253
329,496
462,462
938,236
798,365
494,176
344,488
614,596
773,337
701,719
773,661
752,834
697,301
545,880
345,998
111,372
912,423
534,223
998,597
321,932
151,326
267,333
925,322
816,293
117,720
284,844
193,394
674,805
411,423
712,738
532,796
730,745
897,874
318,120
313,261
377,883
484,769
379,400
183,362
518,399
280,109
597,985
293,335
191,322
952,842
362,300
206,408
502,939
634,768
436,671
421,512
201,472
169,799
366,977
941,255
202,920
667,462
758,841
969,347
281,318
372,909
172,707
737,267
465,632
162,277
522,477
221,925
761,560
226,498
791,827
735,670
296,103
547,201
958,488
439,268
281,968
191,758
318,309
116,336
685,803
247,896
304,741
248,510
628,192
125,691
766,167
640,645
224,174
569,806
614,488
995,378
258,466
546,481
516,241
915,738
466,834
684,780
577,569
874,800
650,129
659,162
342,123
331,499
998,823
543,515
724,385
831,170
987,110
458,625
1000,456
141,867
159,561
672,719
492,280
971,814
568,604
239,504
899,965
754,598
889,460
323,542
488,546
286,695
143,164
278,213
383,256
298,512
848,306
600,758
652,135
156,344
504,532
392,256
474,422
429,969
764,372
504,577
194,948
221,814
735,760
113,515
539,249
698,519
919,248
365,794
691,684
993,449
271,468
657,263
429,831
902,780
879,427
823,958
453,467
778,269
599,570
152,303
757,566
256,319
375,409
910,322
801,939
909,248
876,770
500,742
387,795
269,865
179,418
945,910
131,233
496,705
747,573
955,308
625,980
683,777
441,968
384,518
879,429
132,879
387,187
134,317
852,534
422,525
967,922
294,476
708,128
